"4020-00-068-7906","General Products","Rope","Has a 890-lb. breaking strength. Diameter: 3/8"". (NFES #001801) Made of cotton or cotton-blend fibers. Twisted, three-strand rope is suitable for various uses, such as cattle ties, lines, halters and tent ropes. A-A-52088.",89.4,"SL","H"
"4020-00-068-7907","General Products","Rope","Has a 1,450-lb. breaking strength. Diameter: 1/2"". Made of cotton or cotton-blend fibers. Twisted, three-strand rope is suitable for various uses, such as cattle ties, lines, halters and tent ropes. A-A-52088.",134.98,"SL","H"
"4020-00-141-7152","General Products","Rope","Rope diameter 3/4"" each, three multi strands configuration. Has a 13,200-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and",390.02,"RL","H"
"4020-00-240-2142","General Products","Sash Cord","Has a 720-lb breaking strength. Polished finish is lustrous and smooth. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. A-A-55622.",170.58,"RL","H"
"4020-00-240-2146","General Products","Cord","Braided polyamide nylon cord is light- and heat-resistant. Has a 550-lb. breaking strength and 30 percent minimum elongation. Used by the Forest Service for shroud lines on cargo parachutes. PIA-C-5040, Type III. (NFES #000533)",195.24,"SL","H"
"4020-00-241-8439","General Products","Sash Cord","Has a 720-lb breaking strength. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. A-A-55622.",13.79,"HK","H"
"4020-00-289-8616","General Products","Rope","Rope diameter 5/8"" each, three multi strands configuration. Has a 3,960-lb breaking strength. Made of manila fibers, this rope is impregnated with an oil preservative. T-R-605.",197.23,"CL","H"
"4020-00-551-3343","General Products","Sash Cord","Has a 370-lb breaking strength. Polished finish is lustrous and smooth. Cotton or cotton-blend yarn is braided over cotton fiber for use as sash cord. A-A-55622.",140.97,"RL","H"
"4020-00-782-5574","General Products","Twine","Minimum two-ply twine has a breaking strength of 20-1/2 lb. Twine is rolled into a 5-lb cone. White cotton or cotton-polyester blend twine has a natural finish and an ""S"" twist. Use in USPS mail-tying machines. Red-colored 20' trailer indicates end of twi",18.14,"CE","H"
"4020-00-919-3443","General Products","Rope","Rope diameter 1"" each, three multi strands configuration. Has a 23,200-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and l",684.7,"RL","H"
"4020-00-928-3438","General Products","Rope","Rope diameter 1/4"" each, three multi strands configuration. Has a 1,500-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",45.79,"RL","H"
"4020-00-968-1350","General Products","Rope","Rope diameter 1/4"" each, three multi strands configuration. Has a 1,000-lb breaking strength. Polypropylene fiber rope has a right-hand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",18.4,"RL","H"
"4020-00-968-1351","General Products","Rope","Rope diameter 3/8"" each, three multi strands configuration. Has a 2,150-lb breaking strength. Polypropylene fiber rope has a right-hand or ""Z""  lay and 45 percent elongation. The rope is intended for use where light weight and floatability are required an",41.4,"RL","H"
"4020-00-968-1356","General Products","Rope","Rope diameter 3/8"" each, three multi strands configuration. Has a 3,300-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",98.84,"RL","H"
"4020-00-968-1357","General Products","Rope","Rope diameter 1/2"" each, three multi strands configuration. Has a 5,800-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",170.53,"RL","H"
"4020-00-968-1358","General Products","Rope","Rope diameter 5/8"" each, three multi strands configuration. Has a 9,800-lb. breaking strength. Made of nylon fiber, this rope has a right-hand or ""Z"" twist and 55 percent elongation. Especially useful for mooring, towing and hoisting operations; heat and ",289.8,"RL","H"
"4110-00-255-8760","Hardware","Office Water Cooler","Fresh water at your fingertips.  Bubbler-style drinking water dispenser gives a stream of water that arches from the outlet to the drain pan.  Attaches to normal, pressurized water supply pipe.  Electrically cooled unit has a self-closing faucet and is en",728.38,"EA","H"
"4130-00-203-3321","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",17.8,"DZ","H"
"4130-00-249-0966","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",15.87,"DZ","H"
"4130-00-274-7800","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",14.21,"DZ","H"
"4130-00-541-3220","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",11.18,"DZ","H"
"4130-00-720-4143","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",11.04,"DZ","H"
"4130-00-756-1840","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",16.42,"DZ","H"
"4130-00-870-8796","General Products","Air Conditioner Filter","This fiberglass filter is designed for use in air-conditioning, heating and ventilation systems in which the face velocity of the air stream is approximately 300-feet per minute. Effectively filters dust and lint from air. Disposable, panel-type filter fe",9.94,"DZ","H"
"4140-00-256-9912","Hardware","Circulating Fan","Minimum 2000 cfm air flow. Keep cool with this three-speed oscillating fan. Features on-off switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impact-resistant plastic bl",37.24,"EA","H"
"4140-00-851-9319","Hardware","Circulating Fan","Minimum 4000 cfm air flow. Keep cool with this three-speed oscillating fan. Features on-off switch and low, medium, and high speeds.  Wall or desk mount; oscillates 80°; converts from wall to desk with no tools. Made with three impact-resistant plastic bl",39.77,"EA","H"
"4140-00-961-5480","Hardware","Circulating Fan","Minimum 2600 cfm air flow. Beat the heat with this high-velocity, two-speed fan. Use on the floor, desk or wall as an air circulator. It may also be used in the window for exhaust or intake purposes. The plastic blades circulate  a minimum of 2600 CFM of ",73.22,"EA","H"
"4140-01-278-1527","Hardware","Circulating Fan","Fan provides 8050 cfm air flow. Oscillates a minimum of 80° and can be locked at any point on that oscillation range. Stay cool with this column-mounted, two-speed (minimum) pedestal fan that adjusts to heights up to 96"". Head of fan tilts 5° below and 15",230.21,"EA","H"
"4140-01-278-3874","Hardware","Circulating Fan","Fan provides 3925/5350 cfm air flow. Oscillates a minimum of 80° and can be locked at any point on that oscillation range. Stay cool with this column-mounted, two-speed (minimum) pedestal fan that adjusts to heights up to 96"". Head of fan tilts 5° below a",242.29,"EA","H"
"4140-01-416-4898","Hardware","Circulating Fan","Minimum 500 cfm air flow. Lightweight, portable, two-speed electric fan clips onto most objects 3/4 to 1-3/8"" wide. The multi-directional tilt adjusts easily. A safety guard completely covers the plastic blade assembly. This oscillating fan operates on 11",23.29,"EA","H"
"4210-00-165-4703","General Products","Fire Extinguisher","Rating is 3A:40B:C with a 5-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 testi",31.14,"EA","H"
"4210-00-595-1777","General Products","Fire Extinguisher","Rating is 5B:C with a 5-lb. charge. USCG approved mounting bracket is included. Carbon dioxide (CO2) fire extinguisher. UL 154.  USCG approved for marine use. Designed for extinguishing small fires. Ratings are based on UL 711 testing, which uses the foll",104.88,"EA","H"
"4210-00-775-0127","General Products","Fire Extinguisher","Rating is 20B:C with a 5-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, w",40.04,"EA","H"
"4210-00-889-2491","General Products","Fire Extinguisher","Rating is 4A:60B:C with a 10-lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are based on UL 711 test",44.31,"EA","H"
"4210-00-889-2492","General Products","Fire Extinguisher","Rating is 10A:120B: C: with a 20-lb. charge. Has stored pressure and is refillable. Wall-mounting bracket included. (NFES #000307) Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. Ratings are base",78.66,"EA","H"
"4210-00-965-1105","General Products","Fire Extinguisher","Rating is 10B:C with 2-1/2-lb. charge. Has stored pressure and is refillable. Vehicle mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing,",28.74,"EA","H"
"4210-00-965-1107","General Products","Fire Extinguisher","Rating is 80B:C with a 10-lb. charge. Has stored pressure and is refillable. Wall mounting bracket is included. Dry chemical for class B:C type fires (potassium bicarbonate). Designed for extinguishing small fires. Ratings are based on UL 711 testing, whi",65.23,"EA","H"
"4210-01-245-9850","General Products","Fire Extinguisher","Rating is 1A:10B:C with a 2-1/2 lb. charge. Has stored pressure and is refillable. DOT/USCG approved vehicle/marine mounting bracket is included. Dry chemical for class A:B:C: Type fires (multi-purpose phosphate). Designed for extinguishing small fires. R",22.68,"EA","H"
"4235-01-441-0246","General Products","Absorbent Pad","Woolzorb sorbent pad is made of organic fibers and wool. Ideal for spills and cleanup in the shop and field. Absorbs oils, grease, coolants, solvents and water (universal). Each pad will absorb up to 0.25 gallons and is reusable up to ten times. Incinerat",75.73,"BX","H"
"4235-01-441-0248","General Products","Spill-Containment Boom (Absorbent)","Wooly Boom sorbent is made of organic fibers, cotton and wool. Boom absorbs up to 40 times its weight in liquid hydrocarbons. Used for containing fuel and oil spills on land, streams, lakes, rivers and salt water. Features a quick lock buckling system for",189.09,"BX","H"
"4235-01-451-8744","General Products","Absorbent Pad","Cottonsoak sorbent pad is made of 100 percent cotton. Ideal for all hydrocarbon spills. Absorbs light oils, gasoline, diesel fuel, jet fuel and hydraulic oils (oil only). Each pad will absorb up to 0.25 gallons and is reusable up to 10 times. Incinerates ",77.74,"BD","H"
"4235-01-453-5159","General Products","Drum Top Pad (55 Gallon) (Absorbent)","100 percent wool pad sorbent fits the top of a fifty-five-gallon drum. Absorbs oil and water (universal). Reusable and environmentally friendly.",74.64,"BX","H"
"4235-01-456-8571","General Products","Absorbent Pillow","Cotton sorbent pillow is made of 100 percent cotton. Ideal for spill cleanup. Absorbs oils, coolants and solvents (oil only). Each pillow will absorb up to 1.4 gallons and is reusable up to ten times. Environmentally friendly.",78.84,"BX","H"
"4235-01-456-8575","General Products","Absorbent Pillow","Wool sorbent pillow is made of wool and organic fibers. Ideal for spill cleanup. Absorbs oils, coolants, solvents and water (universal). Each pillow will absorb up to 1.4 gallons each and is reusable up to ten times. Environmentally friendly.",80.34,"BX","H"
"4235-01-456-8862","General Products","Spill-Containment Sock (Absorbent)","Wooly Snake sorbent is made of organic fibers and wool. Three-inch diameter, ideal for containing oil, coolant, solvents and water (universal). Molds easily and neatly around machinery. Reusable and environmentally friendly.",68.68,"BX","H"
"4235-01-456-9899","General Products","Spill Clean-Up Kit - Universal (Absorbent)","Thirteen-gallon sorbent spill kit for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (25 each), 3 x 48"" Wooly Snakes (4 each), 18 x 18"" wool pillows (2 each), USA-DRI absorbent (5-pounds), glasses ",157.15,"KT","H"
"4235-01-457-0005","General Products","Spill Clean-Up Kit - Universal (Absorbent)","Twenty-one-gallon sorbent spill kit for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (50 each) , 3 x 48"" Wooly Snakes (4 each), 18 x 18"" wool pillows (2 each), USA-DRI absorbent (10-pounds), pair",193.23,"KT","H"
"4235-01-457-0031","General Products","Spill Clean-Up Kit - Oil Only (Absorbent)","Biodegradable twenty-one-gallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (50 each),  3 x 48"" Wooly Snakes (4 each) ,  18 x 18"" cotton pillows (2 each), USA-DRI absorbent (10-pound",186.59,"KT","H"
"4235-01-457-0421","General Products","Spill Kit Refill - Universal (Absorbent)","Fifty-five-gallon drum not included with the DIY thirty-seven-gallon spill kit. Thirty-seven-gallon sorbent spill kit (refill) for use with oil, coolants, solvents and water (universal). Kit contains: 18 x 18"" Woolzorb pads (universal) (100 each),  3 x 48",207.46,"KT","H"
"4235-01-457-0431","General Products","Spill Kit Refill - Oil Only (Absorbent)","Fifty-five-gallon drum not included with the DIY thirty-seven-gallon spill kit. Thirty-seven-gallon sorbent spill kit (refill) for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (100 each), 3 x 48"" Wooly Sna",207.68,"KT","H"
"4235-01-457-0518","General Products","Spill Clean-Up Kit - Oil Only (Absorbent)","Forty-gallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only)  (100 each) , 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotton pillows (6 each), bio rags (50 each), USA-DRI absorbent (20-pou",510.74,"KT","H"
"4235-01-457-0658","General Products","Travel Spill Kit - Oil Only (Absorbent)","Eight-gallon sorbent travel spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (15 each), 3 x 48"" Wooly Snakes (4 each),  USA-DRI absorbent (5-pounds), glasses (1 pair), gloves (1 pair), Emergency ",103.72,"KT","H"
"4235-01-457-0663","General Products","Spill Clean-Up Kit - Oil Only (Absorbent)","Sixty-five-gallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (100 each), 3 x 96"" Wooly Snakes (8 each), 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotton pillows (10 each), bio rags (",696.15,"KT","H"
"4235-01-457-0677","General Products","Spill Clean-Up Kit - Oil Only (Absorbent)","Container features 3"" poly wheels. Eighty-gallon sorbent spill kit for use with oil, coolants, and solvents (oil only). Kit contains: 18 x 18"" cotton pads (oil only) (150 each), 3 x 96"" Wooly Snakes (4 each), 3 x 48"" Wooly Snakes (10 each), 18 x 18"" cotto",1085.07,"KT","H"
"4240-00-052-3776","General Products","Safety Goggles","Safety-type goggles provide eye protection against small flying particles of dust, chips and machine cuttings. Molded plastic flexible frame has clear plastic lenses and an adjustable elastic webbing headband. Goggles are ventilated to reduce fogging and ",2.99,"PR","H"
"4240-00-203-3804","General Products","Safety Goggles","Welder's regular-type goggles have high-density screw-on filter lens for acetylene welding and cutting. Two cover lenses protect filter lenses from pitting. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles",9.95,"PR","H"
"4240-00-262-7092","General Products","Industrial Goggle Lenses","Clear cover plate to protect filter lenses. (Indirect ventilation eyecup lenses only.) Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Well-polished, smooth and free of rough edges. ANSI Z87.1.",3.39,"PR","H"
"4240-00-262-7099","General Products","Industrial Goggle Lenses","Filter Shade No. 6. (Indirect ventilation eyecup lenses only). Replacement lenses for welder's goggles measure 1.968"" (50mm) in diameter. Well-polished, smooth and free of rough edges. ANSI Z87.1.",5.75,"PR","H"
"4240-00-269-7912","General Products","Safety Goggles","Chipper's and grinder's cover-cup-type goggles have clear lenses, 50 mm-diameter. Protect eyes from stray sparks, scale or injurious light rays with these industrial safety goggles. A flexible, adjustable nose bridge connects two rigid eyecups. Goggles pr",8,"PR","H"
"4240-00-269-9460","General Products","Safety Glasses","Filter shade #2. For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",9.96,"PR","H"
"4240-00-516-4527","General Products","Safety Glasses","For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.98,"PR","H"
"4240-00-516-4728","General Products","Safety Glasses","For use while performing light grinding, turning metal or wood and drilling. Features plastic lenses, plastic frames and side shields. Lens color: clear. Cannot be worn over other glasses. Meets ANSI Z87.1 requirements.",7.58,"PR","H"
"4240-00-540-0623","General Products","Welder's Helmet","Full-coverage welder's face shield protects the head and neck from welding splatter and radiant energy. Features a 4.25"" x 2"" flip-up shade plate holder. Helmet includes headgear that can rotate up out of the way. No.10 shade plate and clear cover plate i",44.89,"EA","H"
"4240-00-542-2048","General Products","Face Shield","For use when cutting, grinding or chipping wood or metal or when handling hazardous liquids, pathogenic viruses or chemicals. Non-irritating, adjustable locking headgear includes a vulcanized fiber crown protector and adjustable and replaceable sweatband.",8.18,"EA","H"
"4240-01-292-2818","General Products","Safety Goggles","Wrap around style goggles for use as primary eye protection while performing any job that can possibly produce eye-damaging debris. Indirect ventilated goggles permit the passage of air and may prevent the direct passage of liquids from chemical splash ha",5.74,"PR","H"
"4240-01-463-5449","General Products","Dust Mask (Disposable)","Light-weight dust mask features an adjustable nose clip and adjustable upper and lower elastic straps to hold it in place, making it ideal for covering nose and mouth. Excellent for use when grinding, sanding, sweeping, bagging, and other dusty operations",6.21,"BX","H"
"4240-01-492-0177","General Products","Disposable Particulate Respirator","Lightweight, low-profile design provides worker comfort, minimizes interference with eye protection. NIOSH N95 protection provides protection against non-oil particulates and is 95 percent efficient. Designed to function as a one-size-fits-all respirator ",6.56,"BX","H"
"4320-00-852-9036","General Products","Tire Pump","Portable, low-pressure rust-resistant pump has a 24"" rubber air hose with a screw-on connector and check valve to stop back pressure. Has a single or dual footrest plate, a metal barrel with a steel plunger rod, a replaceable leather cup and a T-handle.",18.34,"EA","H"
